original timestamp,time,speaker,Corrected Text,dialogue_start,Function,,
19:14:40,23:59:20,teacher,"Good morning guys, we’re going to start",TRUE,-,,
19:14:51,23:59:31,student,It's too cold. Yeah it was cold outside.,FALSE,-,,
19:15:35,0:00:16,teacher,"um, so let me show you the fungi unit, and so I have one warm-up question for you and its “where have you seen fungi?” jot down a couple of ideas. Ok, so where’s places where you might have seen fungi?",TRUE,Engage,,
19:15:52,0:00:33,student,In my backyard,FALSE,-,,
19:15:52,0:00:33,teacher,"Great, in your backyard where though?",FALSE,Explore,,
19:16:00,0:00:41,student,"Um, towards the mossy area, it’s hard to explain.",FALSE,-,,
19:16:08,0:00:49,teacher,"Towards like the corner, or is it on…",FALSE,Explore,,
19:16:14,0:00:55,student,A bunch of mushrooms,FALSE,-,,
19:16:29,0:01:10,teacher,"Oh, a bunch of mushrooms, in the hay.",FALSE,Explore,,
,,student,"Something weird on its ..., its like a disease, that’s what the doctors say.",FALSE,-,,
19:16:29,0:01:10,teacher,"Oh, what’d it look like?",FALSE,Explore,,
19:16:27,0:01:08,student,It was weird looking ...,FALSE,-,,
,,teacher,"Oh ok, so you didn’t get to see what it looked like but you know it was growing on its foot?",FALSE,Explain,,
,,student,Like mushrooms on the trees in the woods.,FALSE,-,,
,,teacher,"Ok, so in the natural environment?",FALSE,Explore,,
19:16:32,0:01:13,student,Those weird things that stick out of the sides of trees.,FALSE,-,,
19:16:46,0:01:27,teacher,"Ok, so on trees.",FALSE,Explain,,
,,student,"Um, on decrepit logs",FALSE,-,,
,,teacher,What do you mean (?),FALSE,Explore,,
,,student,"Like just rotted, like, like falling apart ... the fungi ...",FALSE,-,,
,,teacher,"Ok, any other places? Yeah, Diana?",TRUE,Explore,,
,,student,In the grass in my front yard.,FALSE,-,,
19:16:52,0:01:33,teacher,In the back of your car?,FALSE,Explore,"(last part after fungi is unintelligible, someone is coughing)",
19:17:05,0:01:46,student,"No, no. In the grass in my front yard.",FALSE,-,,
19:17:14,0:01:55,teacher,"Oh, the grass, ok great.",FALSE,Explain,,
19:17:22,0:02:03,teacher,"So we’ve seen fungi, um, sometime in our life, uh, whether it’s on food or in nature like on trees or whatnot, we’re gonna be looking at more examples today too, so we have activity 42 for you. So I want you to show me that’s one of the things as you’re going around, um, oh actually as it- as you’re working at your lab station. And at your lab station what you’ll find are some colored pictures of different types of fungi, so there are twelve different types that you can look through. Um, a good idea is to have all the pictures spread out at your lab station so you can look at all of them together. And there are different bins with different types of things in them. So for instance, this station here has um, some fruit, that has uh, fungi growing on them. So you’ll make some observations uh about some of the things you see here. Remember we’re practicing our observations like we did at the beginning of the day. So uh, what kinds of things can you observe when you’re looking at these?",TRUE,Engage,,
19:17:29,0:02:10,student,"Uh, that they’re really old and not healthy.",FALSE,-,,
19:17:37,0:02:18,teacher,"Yeah, so you’re making observations like that, some visual observations that maybe make- it also you can maybe make some guesses about what you think is happening inside some of these things too. So this station here has, um, fruit with mold on it. Um, I’ve got another station with mushrooms on it. Um, another one with petri dishes with mushrooms on them. And I think, um, some fungi growing as well. So, you can take a look- oh and bread, bread growing, uh, mold growing on bread. So when you’re uh, when you’re looking at the different bins here you’re looking at some of the different type of fungi um, and when you’re done, um, I’m going to give every group maybe about six or seven minutes. I’d like the team managers up at the front to kinda keep an eye on the clock, so at about every six or seven minutes I’d like you to take your bin and pass it to the next station, we’ll go in this order.",FALSE,Engage,,
19:17:41,0:02:22,student,"oh, oh, I can smell the pepper",FALSE,-,,
19:20:16,0:04:57,teacher,Which part are you working on?,TRUE,Explore,,
19:20:40,0:05:21,student,We’re working on ...,FALSE,-,,
19:20:47,0:05:28,teacher,"Ok, so you have a good list here, where are you getting this list from?",FALSE,Explore,,
19:20:49,0:05:30,student,From the ...,FALSE,-,,
19:20:53,0:05:34,teacher,"Ah, so your journal is a helpful tool, huh? Ok, so can you maybe describe what you guys know, some examples (?), like they, they made food, what do you mean by that, oh they make food, so you’re saying that-",TRUE,"Explain, Explore",,
19:21:16,0:05:57,student,"No we need food, we need, in our ...",FALSE,-,,
19:21:10,0:05:51,teacher,"Oh they need food, so they don’t make their your own. How do you know? Do you know that for sure?",FALSE,"Explain, explore",,
19:21:13,0:05:54,student,"No, it’s something they do. Photosynthesis.",FALSE,-,,
19:21:24,0:06:05,teacher,What are some examples? How do you know they make their own food? What are you basing it off of?,FALSE,Explore,,
19:21:34,0:06:15,student,"Because, well they, normally they always have something- they’re always arguing, they always pretend they’re not growing out of the ground ...",FALSE,-,,
19:21:30,0:06:11,teacher,"Ok, so they- yeah, what’d you say?",FALSE,Explore,,
19:21:44,0:06:25,student,It needs a host so it becomes a host.,FALSE,-,,
19:21:53,0:06:34,teacher,"Um, so, how is it getting the nutrients from it? We know that plants make their own food. We eat food, we eat it with our mouth, how are they eating their food?",TRUE,Explore,,
19:21:56,0:06:37,student,"I don’t know, they eat bacteria. It decomposes.",FALSE,-,,
19:22:28,0:07:09,teacher,What do you mean by that?,FALSE,Explore,,
19:22:32,0:07:13,student,"Like, like, like it disappears after a while and the bacteria’s just left.",FALSE,-,,
19:23:04,0:07:45,teacher,"Oh, ok, so that’s like when you have this piece of bread, like we have this bread here with a lot of mold on it, um-",FALSE,Explain,,
19:22:55,0:07:36,student,"...it will be just fungi, there won’t be any bread.",FALSE,-,,
19:23:22,0:08:03,teacher,"What about some of the other ones, how do they adapt?",TRUE,Engage,,
19:23:29,0:08:10,student,"You see it spread, it like spreads around the bread. They’re all different hosts and they have to adapt to the different host.",FALSE,-,,
19:23:46,0:08:27,teacher,"Ok, can you give me an example that you might have seen, or?",FALSE,Explore,,
19:23:55,0:08:36,student,"well, the difference between some of the mushrooms, is like, I think that’s the fungi on this one, and that’s way different between- from say this example, and I’m assuming this is maybe in a wetter climate.",FALSE,-,,
19:23:59,0:08:40,teacher,So these adaptations are for what reason?,FALSE,Explore,,
19:24:03,0:08:44,student,"Uh, to live, like, to survive.",FALSE,-,,
19:24:07,0:08:48,teacher,To gain some of the nutrients it might need?,FALSE,Explore,,
19:24:16,0:08:57,student,Yeah.,FALSE,-,,
19:24:20,0:09:01,teacher,"Um, what about, how do they reproduce?",FALSE,Explore,,
19:24:28,0:09:09,student,I think it’s binary fission.,FALSE,-,,
19:24:32,0:09:13,teacher,"Just like what we talked about with uh ..., so that might be something that might be something that’s listed where how are fungi different from plants, you know, like, they reproduce kind of like plants reproduce. Plants reproduce by binary fission",TRUE,Explain,,
19:24:45,0:09:26,student,"No, No. They did the, Pollen. The pollen spreading. Pollination.",FALSE,-,,
19:24:50,0:09:31,teacher,"So are we moving on to the next part where it’s basic things they need to survive, just so you guys are already thinking about that list and that might be a good idea, you can use that to-",TRUE,Explain,,
19:24:55,0:09:36,student,"We need to make sure how they reproduce. The yeast is alive, like yogurt.",FALSE,-,,
19:26:47,0:11:28,teacher,"Yogurt, what do you mean?",FALSE,Explore,,
19:26:53,0:11:34,student,"Like, because it’s alive, but not alive alive.",FALSE,-,,
19:26:57,0:11:38,teacher,"Oh, ok. So what were you guys talking about before that?",FALSE,Explore,,
19:27:10,0:11:51,student,"Um, he he kept saying that mushrooms are living organisms and like they don’t feed on dead organisms, or something like that. That would make fungus a cannibal.",FALSE,-,,
19:27:14,0:11:55,teacher,It would make them a cannibal?,FALSE,Explore,,
19:27:30,0:12:11,student,"Well, I thought mushrooms and fungus are not dead organisms usually.",FALSE,-,,
19:27:34,0:12:15,teacher,"Yeah, I mean like, what are some examples that you’ve seen them growing on?",FALSE,Explore,,
19:27:34,0:12:15,student,Decaying wood,FALSE,-,,
19:27:34,0:12:15,teacher,On decaying wood. Anywhere else?,FALSE,Explore,,
19:27:37,0:12:18,student,"Uh, on old food. Like, wet, wet, old clammy places. Like, one time I took a bunch of sand and, uh, dirt and water and everything and then put it in an airtight container, and in like two days mold started to grow.",FALSE,-,,
19:27:51,0:12:32,teacher,"Yeah, how did it get there?",FALSE,Explore,,
19:27:54,0:12:35,student,"I think it’s like because of the climate, and I think it’s like, I think it’s, being like carried, like carried along, and then it like, kinda like emerges, like grows",FALSE,-,,
19:27:56,0:12:37,teacher,"Would you say like, well, but how come it wasn’t growing when you first obtained it?",FALSE,Explore,,
19:27:59,0:12:40,student,"Because it’s not, uh, it’s maybe because they didn’t like that habitat so they stay hidden.",FALSE,-,,
19:28:07,0:12:48,teacher,"So what are some things that maybe all, all fungi need in order to like emerge?",TRUE,Explore,,
19:28:10,0:12:51,student,Like wetness,FALSE,-,,
19:28:23,0:13:04,teacher,"Wet stuff, ok",FALSE,Evaluate,,
19:28:27,0:13:08,student,"And it’s usually dark, they’re usually in dark places.",FALSE,-,,
19:28:31,0:13:12,teacher,"Where did you keep them, when you-?",FALSE,Explore,,
19:28:42,0:13:23,student,"Uh, I kept them on my windowsill, but there’s like a bunch of trees blocking the windowsill so not a lot of light comes through",FALSE,-,,
19:28:57,0:13:38,teacher,Ok,FALSE,Evaluate,,
