original timestamp,time,speaker,utterance,dialogue_start,Teaching_Act,Prediction
,,T,"What I'm going to have you do is try to use all the following key words here. These are some of the words that kinda came up when you were looking at the different types of fungi earlier, before break, um, digestion, decomposinig, nutriets, rotting. So I'd like you to try to use all those key words there to explain what you thinks happening over time in the ziploc bag with the strawberries. Yes, Alex, great.",TRUE,,
,,S,"Well, What's happening over time in the ziploc bag is the strawberries are rotting and decomposing. What's cauing this might be that the mold growing on it gathers the strawberries nutrients through digestion and the strawberry starts to shrivel up and break.",FALSE,,
,,T,Great. So you said what's happening is rotting and decomposing. Is that the same thing? That you're talking about you think? Or are they two different things that are going on? And this can be a question for anybody. Alex used it. I saw a lot of people using it. A lot of people said the stawberries were decomposing and rotting. Are those two different things that are happening? What do you say?,FALSE,,
,,S,"Yeah, I think it's two different things. Um, when they rot, the mold starts to grow on them to get the nutrients. But when they decompose then it, um, more of them are falling apart.",FALSE,,
,,T,But what's causing them to fall apart?,FALSE,,
,,S,"Well, the mold just being on the nutrients I guess.",FALSE,,
,,T,Ok. So depends on what you're saying. Same thing? Are they the same thing?,FALSE,,
,,S,"Well, I think it depends more, more than a ton. the last stage where it um falls apart and rotting",FALSE,,
,,T,Ok. So any other ideas? Tory?,TRUE,,
,,S,"Um, the mold is, I think that rotting is the mold taking out the nutrients like up to the surface so the mold can digest it. And decomposing is where the actual material of the strawberry starts to fall apart and become compost.",FALSE,,
,,T,"Because, what reason?",FALSE,,
,,S,"Because the mold is, all the nutrients are out of the strawberries so that’s basically what makes up the fruit",FALSE,,
,,T,"Ok. So I'm hearing kinda a couple of things here. It sounds like you and James have really similar ideas here, where you're saying that um, mold, or fungus, is the cause of both of those rotting and decomposing, but they're two different parts of the same overall thing, that you're saying, right?",FALSE,,
,,T,"Any other ideas? About whats going on inside here. Maybe we can add a couple of these ideas that you just talked about onto our concept map up here. So, you guys remember this? From back in the day? We put a lot of great ideas on here. Um, let's talk about what you guys just shared here. So we got decompose, take the goodness away, parts of a cycle, and add nutrients like compost. So, We're talking about decomposing and rotting maybe being two different topic things, maybe? Um, I'll add what you said two stages. Um, What I'm going to have you guys do is um, look up some of these words in picture pockets we have available here with the info, and see if you can get a better idea of some of the definitions of the words, because when I walked around a lot of people asked what does decomposing mean? Can you describe how do you digest food?",TRUE,,
,,S,I eat it.,FALSE,,
,,T,"Eat it! Yeah, can you describe that process for me?",FALSE,,
,,S,I chew it.,FALSE,,
,,T,"Or anybody else, you can help, how do you digest food?",TRUE,,
,,S,And then I swallow. And then it breaks it down.,FALSE,,
,,T,What breaks it down?,FALSE,,
,,S,Acids. In my stomach.,FALSE,,
,,T,"Ok, great. And then what? And then where does it go from there?",FALSE,,
,,S,It goes down in,FALSE,,
,,T,"Well, I mean, like you eat it and it breaks down. But I mean, why are you eating in the first place?",FALSE,,
,,S,To get energy.,FALSE,,
,,T,To give you energy. So how are you getting that energy after you break it down?,FALSE,,
,,S,By taking nutrients from the food.,FALSE,,
,,T,"Ok. Um, so then describe how fungus is doing that. Is that the same?",FALSE,,
,,S,They absorb it through their cell membrane.,FALSE,,
,,T,Are we kinda doing that too? We got lots of cells in our body and we're absorbing them kinda all of the cells within our body doing that?,FALSE,,
,,S,The germs frist break it down,FALSE,,
,,T,"They first break it down, ok. So how does this process here, is this process different from what we're doing?",FALSE,,
,,S,Yes.,FALSE,,
,,T,Why is it called extracellular? What does that mean?,FALSE,,
,,S,More cells?,FALSE,,
,,T,"No idea? Why don't you guys take a look at a couple more of these here. Just compare what they're saying about the extracellular, what are they doing here? So you want to kind of compare, maybe, most of them here to see if there might be any differences. Because some of them are really similar, but you might obtain more information by looking at one or two more.",FALSE,,
,,T,"So we talked about extracellular digestion already, yeah?",TRUE,,
,,S,Yeah,FALSE,,
,,T,What is it?,FALSE,,
,,S,The process where fungus breaks down food to simple sugars and absorbs with cellular membranes,FALSE,,
,,S,"No, no. It's the way fungus digests foods where enzyms break the organiz material into sugars and take the sugars into the cell membrane for energy.",FALSE,,
,,T,"Ah, interesting. So isn't that the same thing you're doing then? When you eat?",FALSE,,
,,S,Pretty much.,FALSE,,
,,T,Yeah? But how is that different though?,FALSE,,
,,S,We don't use enzymes?,FALSE,,
,,T,Do we? We actually do have enzymes inside of our body.,FALSE,,
,,S,"Oh, ok.",FALSE,,
,,S,We don’t have cell membranes?,FALSE,,
