234,speaker,utterance,dialogue_start,Teaching Act,Teaching Purpose,Student Phase (5 Es),Teacher Phase (5 Es)
,[You]:,"Let's get started. As I walked around I saw a lot of you had some new ideas about pressure, a lot of you talked about pressure. And a lot of you were talking about air. Some of you said you learned some new things about temperature, and compression, and the molecules. And so, before we continue today, we're going to continue gathering information, trying to figure out how this tanker crushed. But before we do that I would like to look back over your posters from yesterday. So we going to look at the posters and make a list of what is causing the tanker to crush based on your ideas. And also, I want us to start looking, does anything seem to be linked together? so does one thing happening in the tanker seem to cause another thing to happen. So as we look through this, that's what we'll be looking for. So with this group, they showed us here the molecules moving around. So I think this one did a really good job of showing us those molecules moving inside the tanker. And then they said, as it cooled down, what happened to the molecules?",T,Using instructional aids,Synthesizing Students' Explanations,,Explain
,[Bot]:,Slower.,F,,,,
,[You]:,"They became slower. And she- they showed us that those molecules slowed down. They also showed us some air outside of the tanker. And they show us then, what happens then to the air molecules? In this one right here?",F,Using instructional aids,Synthesizing Students' Explanations,,Explain
,[Bot]:,They stopped.,F,,,,
,[You]:,"They, well, maybe they stopped. You're right, they're not showing us that they're moving at all, but we know that molecules don't ever stop moving until they get to absolute zero. But they're moving more slowly, and they're compressed. Okay, so they're really thinking about how temperature is affecting the molecules inside the tanker. Um, let's see, this one and this one. Took that a little bit further and talked about how temperature affected that gas. And, can you see what they're showing here? What happens to the gas when it got cooler? What do we see forming here?",F,Using instructional aids,Synthesizing Students' Explanations,,Explain
,[Bot]:,It changed to a liquid.,F,,,,
,[You]:,"Yeah, so it's actually having a phase change. We're getting liquid water collecting at the bottom of the tanker. Look, they're showing us here, are there any more gas- water particles in this picture? They said it all turned to liquid. So they had this idea that it started all as a gas, and then it started to, um, condense and become liquid, and eventually it all became liquid. And this group started to think about this too. Started to think about this, um, this orange is showing that it was a gas, and then it didn't dry up, but they talked about this being water at the bottom of the tanker. And then, some groups started to think about pressure, and the molecules moving around. So this group shows the molecules moving. Here they're showing arrows. And they're showing these arrows going out, showing that there's collisions going against the edge here, of the tanker. So they're thinking about the pressure that's being created by the molecules moving around here and then they said that as it gets colder they're slowing down, so again they're talking about the speed of the molecules. And they're talking about pressure here too. And they're also trying to think about these air molecules outside the tanker. So they have little drawings of air molecules here, and they're showing arrows of that air pushing against the tanker. They're thinking that that air is just pushing down on the top. So that's something we can think about. And then, this group also talked about pressure. This is the one where they said, they kind of imagined the that this air around the tanker is like a giant foot pushing down on it, on the tank. Can this group remind us why the air foot able to crush this one and not this one?",F,Using instructional aids,Synthesizing Students' Explanations,,Explain
,[Bot]:,"Because the first one had gas in it, the gas was creating pressure up against the wall of the tank, and if it was turned into water the tank probably wasn't having as much pressure on the sides of it.",F,,,,
,[You]:,Ok.,F,Providing Feedback ,,,?
,[Bot]:,So it was probably easier for it to crush.,F,,,,
,[You]:,"Ok. So, something about a difference between what was inside here versus here which allowed that pressure outside to have different affects between this one and this one. And I think that this group also showed us that, they said the pressure inside became less than the pressure outside, so it allowed it to crush. So we have all these ideas that we're working on, and so, we have some idea of temperature. What did temperature, tell someone next to you, what did temperature seem to affect inside the tanker? Tell someone next to you. What did the temperature seem to affect? Ok, so what did it seem to affect?",F,Giving Explicit Instruction,Having Students Provide Explicit Explaination,,Explain
,[Bot]:,The molecules.,F,,,,
,[You]:,"What about the molecules inside? Ok, so temperature affected the molecules. What about the molecules?",F,Questioning and Prompting ,,,Explain
,[Bot]:,They got slower.,F,,,,
,[You]:,"Ok, so it affected speed and phase. And we also talked about some pressure here. Pressure inside the can, or the tanker, and pressure outside. So the pressure inside, what does that link to? Tell someone next to you, what does pressure inside, how is that affected or what caused pressure inside of the can to change? Tell somebodynext to you. What caused the pressure inside of the can to change? So something about the pressure inside, which groups showed us the pressure of the molecules inside the can having and affect, or inside the taker having an affect?",F,Giving Explicit Instruction,Having Students Provide Explicit Explaination,,Explain
,[Bot]:,That one.,F,,,,
,[You]:,"Which one? This one? Ok, what did they say about what caused this pressure against the walls of the- Vernon? What caused the pressure here?",F,Questioning and Prompting ,,,Explain
,[Bot]:,"Uh, the steam.",F,,,,
,[You]:,"So something about the steam and, so, the pressure inside caused by what?",F,Questioning and Prompting ,,,Explain
,[Bot]:,The steam.,F,,,,
,[You]:,Caused by the steam?,F,Questioning and Prompting ,,,Explain
,[Bot]:,It kept the shape.,F,,,,
,[You]:,"Ok. Because gasses take the shape of the container. Ok, so I want you to keep thinking about this. What's causing that pressure inside? And how about the pressure outside? What did the pressure outside have to do with this scenario? Who showed something about pressure outside having an affect?",F,Questioning and Prompting ,,,Explain
,[Bot]:,Justin's group. The pink paper.,F,,,,
,[You]:,"This one talked about, you talked about. The pink paper did show air outside, and so did- did this group? Did you guys talk about air out here? And I think there's one more. This air foot was kind of an idea of pressure outside. So what does the pressure outside do to the tanker, based on what some of your groups have talked about?",F,Questioning and Prompting ,,,Explain
,[Bot]:,Compression.,F,,,,
,[You]:,"Ok, so it crushes the tanker. And I want you to continue thinking about this. Why would it crush the tanker? Why does it have the ability to crush it? Because it's not getting crushed here, and it's not getting crushed here, right? So we're going to continue adding to our list here as we continue today.",F,,,,?
,,,,,,,
,[You]:,"And you have tongs to touch the cans, so don't touch the can with your fingers. You're going to put it on the hotplate and turn it on and wait until it starts to boil. You'll see steam coming out and you'll hear it boiling. And let it boil for about a minute. Then, you're going to wear your goggles the whole time. You're going to take your tongs, pick up your can, and you're going to flip it over with the top part into the plastic. Ok? So what do you think is going to happen?",T,Questioning and Prompting ,Getting Students Hypothesizing ,,Explore
,[Bot]:,"I think it's going to air, the air-",F,,,,
,[You]:,Tell someone next to you.,F,Giving Explicit Instruction,Having Students Provide Explicit Explaination,,Explain
,[Bot]:,It's going to do like the tanker do.,F,,,,
,[You]:,Ok. So what do you think is going to happen?,F,Questioning and Prompting ,Getting Students Hypothesizing ,,Explore
,[Bot]:,It's going to crush.,F,,,,
,[You]:,"Ok, so I hear some people saying it's going to crush or impload. Why would it do that?",F,Questioning and Prompting ,Having Students Provide Explicit Explaination,,Explore
,[Bot]:,[silence],F,,,,
,[You]:,What? You can't tell? You don't know what will happen?,F,Questioning and Prompting ,,,Explore
,[Bot]:,I know it's going to crush.,F,,,,
,[You]:,"Ok, you know it's going to crush. You've seen it before. We don't know why. We're changing the temperature. We're boiling it and then we're putting it in cold water.",F,,Synthesizing Students' Explanations,,Explore
,[Bot]:,"Oh! I think it might make it, like, make the molecules squishing together.",F,,,,
,[You]:,"Tani asked a good question. She said are we going to seal the top of the container. So, when we take this can and we flip it over, what are we doing to the top of the container here?",F,Using instructional aids,,,Explore
,[Bot]:,Sealing it.,F,,,,
,[You]:,You're going to be covering it. So you're going to keep thinking about that. And I'm not going to show you what's going to happen. I want you to do it yourself. Ok?,F,Giving Explicit Instruction,,,Explore
,,,,,,,
,[Bot]:,It's going to cause a reaction.,T,,,,
,[You]:,What kind of reaction?,F,Questioning and Prompting ,Facilitating Students to Extend Newly-Acquired Knowledge and Skills,,Elaborate
,[Bot]:,"Um, cold and hot together, which means it will… impload I guess.",F,,,,
,[You]:,Ok.,F,Providing Feedback ,,,?
,[Bot]:,"It has no air, so...",F,,,,
,[You]:,What has no air?,F,Questioning and Prompting ,Facilitating Students to Extend Newly-Acquired Knowledge and Skills,,Elaborate
,[Bot]:,This.,F,,,,
