168,Speaker,Utterance,dialogue_start,teaching act,student act,Student/Teacher Es,,
,T,"what I need for you to do right now is, every one of you get out a blank sheet of paper.",T,set up task,,Explore,,*some explanations will be procedural (task at hand)
,S,"ashley, can I have a piece of paper?",F,,ask student,Explore,,*teachers may switch into explanation mode in the middle of the explore phase
,T,just put it right on the table back there.,F,manage classroom,,Explore,,(watch follow-up comments from teachers as well --> might be an explanation)
,S,thank you.,F,,thank,Explore,,*focus on observable behaviors (student reactions)
,T,thank you Sarah.,F,thank,,Explore,,
,T,"don't leave without it, all right.",F,manage classroom,,Explore,,
,S,okay.,F,,confirm,Explore,,
,T,okay.,F,confirm,,Explore,,
,T,listen closely now. everybody ready?,T,manage classroom,,Explain,,
,S,yep.,F,,confirm,Explain,,
,T,can someone raise their hand and tell me what's one obvious thing that I can do to graph? nick?,T,content question,,Explain,,
,S,the slope.,F,,content,Explore,,
,T,use the slope with the?,F,dig deeper,,Explore,,
,S,y intercept and X intercept.,F,,content,Explore,,
,T,"y intercept. that's probably the way you'll probably want to do it, right Nick?",F,"revoice, set up task",,Explore,,
,S,yeah.,F,,confirm,Explore,,
,T,"is there another way, though? Robert?",T,dig deeper,,Explore,,
,S,"use the, um, tables.",F,,content,Explore,,
,T,"right, to make a table for the equation, right? and then plot the points from the table. so go ahead and get started.",F,reframe,,Explore,,
,T,"Nick, question?",T,call on student,,Explore,,
,S,"where's this...oh, right here?",F,,question task,Explore,,
,T,yeah. you're going to graph on that. that is your result for your group.,F,direct_explanation,,Explore,,
,S,"so everybody has to do one graph, right?",F,,question task,Explore,,
,T,right.,F,confirm,,Explore,,
,T,"so while he's doing that, let's get started on this, guys. what are we going to do?",T,task,,Explore,,
,S,do we write this on our piece of paper?,F,,question task,Explore,,
,T,yeah.,F,confirm,,Explore,,
,S,"oh, okay.",F,,confirm,Explore,,
,T,all right? ,T,confirm,,Explore,,
,S,"Mister Ormsby, you know, when you put, like, a one in here, would you go like, times plus...",F,,question task,Explore,,
,T,"ah, see, so now you've already forgotten, right? first of all, zeros are our favorite number, right?",F,question,,Explore,,
