213,Speaker,Utterance,dialogue_start,,5 Es,
,T,"and over two, so there's your line right there.",T,,,(students working in groups)
,T,"and finally number ten, we're at three, the slope is negative one. perfect.",T,,Explore,(teacher going from group to group)
,S,cool.,F,,Explore,
,T,"so now, all you guys have to do +...",F,,Explore,
,S,answer the questions.,F,,Explore,
,T,is to answer these questions. okay?,F,,Explore,
,S,(silent),F,,Explain,
,T,the best you can.,F,,Explain,
,S,on this piece of paper?,F,,Explain,
,T,on your piece of paper.,F,,,
,S,okay.,F,,,
,T,on your own piece of paper okay?,F,,,
,S,okay.,F,,,
,T,"all right, how we doing here, guys?",T,,,
,S,I don't know...,F,,,
,T,what's the ruler for?,F,,,
,S,oh.,F,,,
,T,look at this. just from now on make sure to straighten out these lines and keep going.,F,,,
,S,all right.,F,,,
,T,and are you labeling? that's number one...,T,,,
,S,yeah.,F,,,
,T,number two.,F,,,
,S,no that's number three. I forgot to do number two.,F,,,
,T,"okay, wait a minute. number three is concerning me. you ready?",F,,,
,S,yeah.,F,,,
,T,"let's try this again real quick. all right. it's three plus seven, right?",F,,,
,S,yeah.,F,,,
,T,"so when I put in... let's just start with zero. when I put in zero, what's three times zero?",F,,,
,S,zero.,F,,,
,T,plus seven is?,F,,,
,S,seven.,F,,,
,T,why did you put negative seven?,F,,,
,T,what's zero plus seven?,F,,,
,S,well I started [//] oh.,F,,,
,T,"Chris, let me take a look at your table for three. how come you're not standing up to Raymond here and saying, hey man, look I got the right answers.",T,,,"(teacher addressing students who aren't working together, low motivation)"
,S,(silent),F,,,
,T,"all right, your table is correct. you've got to believe in yourself. all right?",F,,,
,S,I didn't know it was right.,F,,,
,T,you guys gotta start working better together and comparing answers.,F,,,
,T,all right?,F,,,
,T,"Ben, I'm worried about you man. what are we doing here.",F,,,
,S,(silent),F,,,
,T,put away the book.,F,,,
,S,okay.,F,,Explore,
,T,"and Chris, you need to work with your normal partner here a little bit better. and compare answers.",F,,,
,S,(silent),F,,,
,T,"so I mean, if you would have compared answers, guys, you would have seen on this table here, right +...",F,,,
,S,(silent),F,,,
,T,"that, hey! someone must be making a mistake because we're getting different answers here, right?",F,,,
,S,mm hm.,F,,,
,T,"so, either correct yours, or if you want, you can trust Chris. I would trust Chris' to be honest.",F,,,
,S,all right.,F,,,
,T,okay.,F,,,
,S,I used twos... three...,F,,,
,T,right. now did you have to go by twos?,F,,,
,S,I don't. Did I?,F,,,
,T,"Wait a minute, isn't this just a regular number three?",F,,,
,S,yeah.,F,,,
,T,"so on these kind, I always told you just use, like, zero, one and two, right? you didn't have to go by multiples or anything because there's no fraction to divide by. you see?",F,,,
,T,"all right guys, let's see what we can do here.",T,,,(teacher begins addressing whole class)
,S,"Mister Ormsby? all right, never mind.",F,,,
,T,okay.,F,,,
,T,can I interrupt the whole class?,T,,,
,S,(chattering),F,,,
,T,shh. okay.,F,,,
,S,I guess.,F,,,
,T,"five, four, three, two, one, zero. shh. now please listen.",F,,,
,S,(silent),F,,,
,T,okay?,F,,,
,T,"the thing is I have to be honest. I'm getting a little worried, maybe a little frustrated here, just because I could see that some of you have some serious weaknesses. yet, you have people either across from you or right next to you, your own partner that seems most of the time. have the right answers, yet you're not even asking them. so, guys, I ask you, starting right now, is check your work with your partner's work. work together. all right, this is not an individual kind of assignment here. does everything I say make sense so far?",T,,,
,S,yes Mister Ormsby.,F,,,
