,speaker,utterance,dialogue_start,utterance type,Teaching Act:,
,T,good morning! ,TRUE,statement,,
,S,(silent),FALSE,,,
,T,"fine, how are you?",TRUE,statement+question,,
,S,(silent),FALSE,,,
,T,sorry. ,TRUE,,,
,S,(silent),FALSE,,,
,T,"go away, jeffrey. ",TRUE,statement,,
,S,(silent),FALSE,,,
,T,"yes, I think that would be a wise idea. ",TRUE,statement,strategy,
,S,(silent),FALSE,,,
,T,okay,TRUE,,,
,S,(silent),FALSE,,,
,T,"if I were you I'd kinda go over your notes a little bit, too. ",TRUE,statement,strategy,
,S,(silent),FALSE,,,
,T,okay,TRUE,,,
,S,(silent),FALSE,,,
,T,jason,TRUE,,,
,S,"I was absent tuesday, so I need to make what I need to make up. ",FALSE,statement,,
,T,"okay, well then you need to go and get the notes from somebody in class, okay? ",FALSE,statement+confirmation,,
,T,"because we had a minimum day that day so we took notes, and played around with two polymers. ",TRUE,statement,recall,
,S,(silent),FALSE,,,
,T,and I'm gonna see whether or not you guys can remember that. ,TRUE,statement,,
,S,(silent),FALSE,,,
,T,what I know about polymers. ,FALSE,,,
,T,"no, those are your notes, right",TRUE,statement+confirmation,,
,S,those are hers. ,FALSE,,,
,T,"oh, those are hers, that lesson? ",FALSE,,,
,S,"I was... no, I don't think so.",FALSE,,,
,T,"that's right, you were studying. Okay.",FALSE,,,
,T,"and who did you borrow those from, ginger? ",TRUE,question,,
,S,(silent),FALSE,,,
,T,okay. ,FALSE,,,
,T,two things about polymers. ,TRUE,,,
,T,do you remember,TRUE,Question,recall,
,S,yeah. ,FALSE,,,
,T,okay. ,TRUE,,,
,T,"okay guys, about thirty seconds to finish your thoughts. ",TRUE,,,
,S,(silent),FALSE,,,
,T,"okay, ladies and gents somebody in here raise your hand and tell me something that you've learned about polymers. ",TRUE,Question,recall,
,S,(silent),FALSE,,,
,T,"something that you know about polymers, based on last class period. ",TRUE,Question,recall,
,S,(silent),FALSE,,,
,T,something that you know about polymers,TRUE,Question,recall,
,S,(silent),FALSE,,,
,T,jim,TRUE,,,
,S,"yeah, that uh manmade polymers are stronger than natural ones? ",FALSE,,,
,T,could be. ,FALSE,,,
,T,"so, um, you learned about manmade versus natural polymers",TRUE,Question,recall,
,S,yeah. ,FALSE,,,
,T,"so they come in two kinds, manmade and natural. ",FALSE,Statement,Direct Explanation,
,T,somebody else,TRUE,Question,,
,T,charlotte,FALSE,,,
,S,"doesn't poly mean many, many? ",FALSE,,,
,T,poly means many. ,FALSE,Statement,confirm,
,T,"so try to get as much information as you can about polymers because what can you do with this sheet of paper, that i'll let you do? ",FALSE,Question,,
,S,cheat. ,FALSE,,,
,T,"yeah, yeah. ",FALSE,,,
,T,you can use this for a test,FALSE,statement,confirm,
,T,"okay, sam, uh, terrence",TRUE,Call on Student,,
,S,they're gigantic molecules? ,FALSE,,,
,T,they're gigantic molecules. ,FALSE,statement,confirm,
,T,okay. ,FALSE,,,
,T,"um, daphne",TRUE,,,
,S,mono means one. ,FALSE,,,
,T,mono means one. ,FALSE,statement,confirm,
,T,and what's so important about mono?,FALSE,question,dig deeper,
,S,it takes three mono's to make a polymer. ,FALSE,,,
,S,"oh, okay. ",FALSE,,,
,T,but give me kind of a definition of a monomer? ,FALSE,request,,
,T,"you kind of gave it to me, but kind of rephrase that. ",FALSE,request,clarify,
,T,"in other words, daphne, if I were to ask you what is a monomer, what would you tell me? ",FALSE,question,reframe,
,S,a chain? ,FALSE,,,
,T,anybody? ,TRUE,,,
,T,what is a monomer,FALSE,Question,content,
,T,"uh, aimee",FALSE,,,
,S,are they simple molecules? ,FALSE,,,
,T,"yeah, they're simple molecules, so if we take the simple molecules, daphne, we put them all together inside of a chain, what have we created? ",FALSE,Question,check understanding,
,S,a polymer. ,FALSE,,,
,T,bingo! ,FALSE,,,
,T,so mono means what,TRUE,Question,Content,
,S,one. ,FALSE,,,
,T,one. ,FALSE,,,
,T,"okay, good",FALSE,,,
,T,anybody else,TRUE,Question,recall,
,T,crystal,FALSE,,,
,S,polymers are molecules joined together. ,FALSE,,,
,T,"mono ... okay, polymers are molecules joined together. ",FALSE,Statement,confirm,
,T,"and they're joined together, how are they joined together",FALSE,Question,check understanding,
,T,I mean if you have to describe what they look like when they were joined together what would you tell me? ,FALSE,Question,reframe,
,S,".., I don't know, like, they're just around each other. ",FALSE,,,
,T,they're around one another and they're linked together. ,FALSE,Statement,confirm,
,T,"what are they linked together in, samantha",TRUE,Question,content,
,S,(silent),FALSE,,,
,T,but if you want to take a whole bunch of monomers and link them together what have you kind of created? ,TRUE,Question,scenario,
,S,a chain? ,FALSE,,,
,T,bingo! ,FALSE,,,
,S,(silent),FALSE,,,
1,T,"thank you, a chain",FALSE,Statement,confirm,
1,T,okay,FALSE,,,
1,T,"but with the ones that we talked about were in chains, okay? ",TRUE,Statement,recall,
,S,(silent),FALSE,,,
1,T,anything else you want to add to this,FALSE,Question,recall,
1,S,“mer” means molecules? ,FALSE,,,
1,T,"okay, we can write this",TRUE,Statement,confirm,
,S,(silent),FALSE,,,
1,T,"I was trying to kinda remember, remember “molecule” okay? ",TRUE,Statement,confirm,
,S,(silent),FALSE,,,
1,T,samantha,TRUE,,,
1,S,they can be all scrunched together? ,FALSE,,,
1,T,okay. ,FALSE,,,
1,S,up and down and side to side. ,FALSE,,,
1,T,and we're gonna take this one step further today in class. ,FALSE,Statement,set up task,
,S,(silent),FALSE,,,
1,T,samantha mentioned that the polymers can kind of in chains ... can kinda be arranged two different ways. ,TRUE,Statement,recall,
,S,(silent),FALSE,,,
1,T,"she said, “side to side” and we'll call that “parallel” today. ",FALSE,Statement,recall,
,S,(silent),FALSE,,,
1,T,and then how's the other one,FALSE,Question,content,
,S,(silent),FALSE,,,
1,T,do you remember,FALSE,Question,recall,
1,S,scrunched together. ,FALSE,,,
1,T,scrunched together kinda like? ,FALSE,Question,clarify,
1,S,crisscross? ,FALSE,,,
1,T,kinda like crisscrossed. ,FALSE,Statement,confirm,
1,T,okay,FALSE,,,
1,T,"okay, and this, ladies and gents, is what we're gonna focus on today, okay? ",TRUE,,,
,S,(silent),FALSE,,,
1,T,we're gonna talk about parallel and cross linked chains and what actually does that do to the polymer. ,FALSE,Statement,set up task,
,S,(silent),FALSE,,,
1,T,"you guys remember the polymer, the newspaper polymer, do you guys remember that? ",TRUE,Question,confirm,
1,S,mm+hm. ,FALSE,,,
1,T,do you guys remember that? ,FALSE,Question,confirm,
1,T,can somebody here tell me how were the chains arranged in the newspaper,FALSE,Question,recall,
1,T,how were the chains arranged,FALSE,Question,recall,
1,T,dave? ,FALSE,,,
1,T,were they more arranged parallel or were they arranged crisscross? ,FALSE,Question,choose,
1,S,parallel. ,FALSE,,,
1,T,they were parallel and because they were arranged parallel what could you what could you do to the newspaper? ,FALSE,Question,dig deeper,
1,S,rip it easy. ,FALSE,,,
1,T,"you could rip it very, very easily. ",FALSE,Statement,confirm,
1,T,"okay, what was the other thing that we used in class",TRUE,Question,recall,
1,T,does anybody remember,FALSE,,,
1,T,aimee? ,FALSE,,,
1,S,tyvek. ,FALSE,,,
1,T,tyvek. ,FALSE,Statement,confirm,
