,speaker,utterance,dialogue_start,source,
,T,"okay, do I have any others of these pages?",TRUE,TIMSS_science_2,
,S,here.,FALSE,TIMSS_science_2,
,T,going once.,FALSE,TIMSS_science_2,
,S,"oh, I do.",FALSE,TIMSS_science_2,
,T,yeah. That's it.,FALSE,TIMSS_science_2,
,S,"oh, wait, I need to write my name on it.",TRUE,TIMSS_science_2,
,T,cool.,FALSE,TIMSS_science_2,
,S,is my name on it?,FALSE,TIMSS_science_2,
,T,it's fine.,FALSE,TIMSS_science_2,
,T,I put your name on it.,FALSE,TIMSS_science_2,
,S,oh.,FALSE,TIMSS_science_2,
,T,"guys, get out your binder reminders.",TRUE,TIMSS_science_2,
,S,oh.,FALSE,TIMSS_science_2,
,S,I didn't do it.,FALSE,TIMSS_science_2,
,T,write down tonight's homework assignment.,FALSE,TIMSS_science_2,
,S,are we going outside and do sunspots?,FALSE,TIMSS_science_2,
,T,yeah. that's the plan.,FALSE,TIMSS_science_2,
,T,get what?,TRUE,TIMSS_science_2,
,S,my binder reminder.,FALSE,TIMSS_science_2,
,T,why? what did you leave it up there for?,FALSE,TIMSS_science_2,
,S,because I just left it up there.,FALSE,TIMSS_science_2,
,T,where is it? i'll send justin for it.,FALSE,TIMSS_science_2,
,S,it's up there.,FALSE,TIMSS_science_2,
,T,where?,FALSE,TIMSS_science_2,
,S,I have to go get it.,FALSE,TIMSS_science_2,
,T,okay. there you go.,FALSE,TIMSS_science_2,
,T,"on page one forty nine, I'd like you to do questions one through four, please.",TRUE,TIMSS_science_2,
,S,number eighteen?,FALSE,TIMSS_science_2,
,T,questions one through four.,FALSE,TIMSS_science_2,
,T,"what do you need, miguel?",TRUE,TIMSS_science_2,
,S,nothing.,FALSE,TIMSS_science_2,
,T,cool.,FALSE,TIMSS_science_2,
,T,but I can't remember whether we had some for today or whether we need to make some.,TRUE,TIMSS_science_2,
,S,we need to make some.,FALSE,TIMSS_science_2,
,T,okay.,FALSE,TIMSS_science_2,
,S,we need another one for matt.,TRUE,TIMSS_science_2,
,T,okay.,FALSE,TIMSS_science_2,
,T,are you planning on doing some rude symbol while my back is turned?,TRUE,TIMSS_science_2,
,S,no.,FALSE,TIMSS_science_2,
,T,is that it?,TRUE,TIMSS_science_2,
,S,no. because like if we do something then you're gonna see it then we're gonna get caught and get in trouble anyway.,FALSE,TIMSS_science_2,
,T,I see.,FALSE,TIMSS_science_2,
,S,I was just asking.,FALSE,TIMSS_science_2,
,T,"cindy, once it's washed off, you can sit down.",TRUE,TIMSS_science_2,
,S,I need a towel.,FALSE,TIMSS_science_2,
,T,I see. there's some next to the sink over there.,FALSE,TIMSS_science_2,
,T,"take two, and pass the rest back.",FALSE,TIMSS_science_2,
,S,okay.,FALSE,TIMSS_science_2,
,T,"audrey, put that away or I'm gonna read it out loud to everybody.",TRUE,TIMSS_science_2,
